beta	R0
0.117973883939861	0.5
0.118095464474239	0.5
0.118260709525666	0.5
0.118669951779986	0.5
0.118814035324513	0.5
0.119733886681556	0.5
0.120054993067494	0.5
0.120478044900485	0.5
0.120966761843205	0.5
0.121133664029567	0.5
0.121150509701768	0.51
0.121272090236146	0.51
0.121437335287573	0.51
0.121846577541893	0.51
0.12199066108642	0.51
0.122910512443463	0.51
0.123231618829401	0.51
0.123654670662391	0.51
0.124143387605112	0.51
0.124310289791474	0.51
0.124327135463675	0.52
0.124448715998053	0.52
0.12461396104948	0.52
0.1250232033038	0.52
0.125167286848327	0.52
0.12608713820537	0.52
0.126408244591308	0.52
0.126831296424298	0.52
0.127320013367019	0.52
0.127486915553381	0.52
0.127503761225582	0.53
0.12762534175996	0.53
0.127790586811387	0.53
0.128199829065707	0.53
0.128343912610234	0.53
0.129263763967277	0.53
0.129584870353215	0.53
0.130007922186205	0.53
0.130496639128926	0.53
0.130663541315288	0.53
0.130680386987489	0.54
0.130801967521867	0.54
0.130967212573294	0.54
0.131376454827614	0.54
0.131520538372141	0.54
0.132440389729184	0.54
0.132761496115122	0.54
0.133184547948112	0.54
0.133673264890832	0.54
0.133840167077195	0.54
0.133857012749396	0.55
0.133978593283774	0.55
0.134143838335201	0.55
0.134553080589521	0.55
0.134697164134048	0.55
0.135617015491091	0.55
0.135938121877028	0.55
0.136361173710019	0.55
0.136849890652739	0.55
0.137016792839102	0.55
0.137033638511303	0.56
0.13715521904568	0.56
0.137320464097108	0.56
0.137729706351428	0.56
0.137873789895955	0.56
0.138793641252998	0.56
0.139114747638935	0.56
0.139537799471926	0.56
0.140026516414646	0.56
0.140193418601009	0.56
0.14021026427321	0.57
0.140331844807587	0.57
0.140497089859015	0.57
0.140906332113335	0.57
0.141050415657862	0.57
0.141970267014905	0.57
0.142291373400842	0.57
0.142714425233833	0.57
0.143203142176553	0.57
0.143370044362916	0.57
0.143386890035117	0.58
0.143508470569494	0.58
0.143673715620922	0.58
0.144082957875242	0.58
0.144227041419768	0.58
0.145146892776812	0.58
0.145467999162749	0.58
0.14589105099574	0.58
0.14637976793846	0.58
0.146546670124823	0.58
0.146563515797023	0.59
0.146685096331401	0.59
0.146850341382829	0.59
0.147259583637149	0.59
0.147403667181675	0.59
0.148323518538719	0.59
0.148644624924656	0.59
0.149067676757647	0.59
0.149556393700367	0.59
0.14972329588673	0.59
0.14974014155893	0.6
0.149861722093308	0.6
0.150026967144736	0.6
0.150436209399055	0.6
0.150580292943582	0.6
0.151500144300626	0.6
0.151821250686563	0.6
0.152244302519554	0.6
0.152733019462274	0.6
0.152899921648637	0.6
0.152916767320837	0.61
0.153038347855215	0.61
0.153203592906643	0.61
0.153612835160962	0.61
0.153756918705489	0.61
0.154676770062533	0.61
0.15499787644847	0.61
0.155420928281461	0.61
0.155909645224181	0.61
0.156076547410544	0.61
0.156093393082744	0.62
0.156214973617122	0.62
0.15638021866855	0.62
0.156789460922869	0.62
0.156933544467396	0.62
0.15785339582444	0.62
0.158174502210377	0.62
0.158597554043368	0.62
0.159086270986088	0.62
0.159253173172451	0.62
0.159270018844651	0.63
0.159391599379029	0.63
0.159556844430457	0.63
0.159966086684776	0.63
0.160110170229303	0.63
0.161030021586347	0.63
0.161351127972284	0.63
0.161774179805275	0.63
0.162262896747995	0.63
0.162429798934358	0.63
0.162446644606558	0.64
0.162568225140936	0.64
0.162733470192364	0.64
0.163142712446683	0.64
0.16328679599121	0.64
0.164206647348254	0.64
0.164527753734191	0.64
0.164950805567182	0.64
0.165439522509902	0.64
0.165606424696265	0.64
0.165623270368465	0.65
0.165744850902843	0.65
0.165910095954271	0.65
0.16631933820859	0.65
0.166463421753117	0.65
0.167383273110161	0.65
0.167704379496098	0.65
0.168127431329089	0.65
0.168616148271809	0.65
0.168783050458172	0.65
0.168799896130372	0.66
0.16892147666475	0.66
0.169086721716178	0.66
0.169495963970497	0.66
0.169640047515024	0.66
0.170559898872067	0.66
0.170881005258005	0.66
0.171304057090996	0.66
0.171792774033716	0.66
0.171959676220079	0.66
0.171976521892279	0.67
0.172098102426657	0.67
0.172263347478085	0.67
0.172672589732404	0.67
0.172816673276931	0.67
0.173736524633974	0.67
0.174057631019912	0.67
0.174480682852903	0.67
0.174969399795623	0.67
0.175136301981986	0.67
0.175153147654186	0.68
0.175274728188564	0.68
0.175439973239992	0.68
0.175849215494311	0.68
0.175993299038838	0.68
0.176913150395881	0.68
0.177234256781819	0.68
0.17765730861481	0.68
0.17814602555753	0.68
0.178312927743892	0.68
0.178329773416093	0.69
0.178451353950471	0.69
0.178616599001899	0.69
0.179025841256218	0.69
0.179169924800745	0.69
0.180089776157788	0.69
0.180410882543726	0.69
0.180833934376717	0.69
0.181322651319437	0.69
0.181489553505799	0.69
0.181506399178	0.7
0.181627979712378	0.7
0.181793224763806	0.7
0.182202467018125	0.7
0.182346550562652	0.7
0.183266401919695	0.7
0.183587508305633	0.7
0.184010560138624	0.7
0.184499277081344	0.7
0.184666179267706	0.7
0.184683024939907	0.71
0.184804605474285	0.71
0.184969850525712	0.71
0.185379092780032	0.71
0.185523176324559	0.71
0.186443027681602	0.71
0.18676413406754	0.71
0.187187185900531	0.71
0.187675902843251	0.71
0.187842805029613	0.71
0.187859650701814	0.72
0.187981231236192	0.72
0.188146476287619	0.72
0.188555718541939	0.72
0.188699802086466	0.72
0.189619653443509	0.72
0.189940759829447	0.72
0.190363811662438	0.72
0.190852528605158	0.72
0.19101943079152	0.72
0.191036276463721	0.73
0.191157856998099	0.73
0.191323102049526	0.73
0.191732344303846	0.73
0.191876427848373	0.73
0.192796279205416	0.73
0.193117385591354	0.73
0.193540437424344	0.73
0.194029154367065	0.73
0.194196056553427	0.73
0.194212902225628	0.74
0.194334482760006	0.74
0.194499727811433	0.74
0.194908970065753	0.74
0.19505305361028	0.74
