104	16.350000	48.20000	32600	0.230617466422569	0.175873993084011	0.0507194389765986	206583	185	248	300	0	0	0	0.002939739	
106	23.316667	42.68333	3800	0.180880658480119	0.09419150134576	0.0128991197628647	61624	166	258	309	0	0	0	0.001469869	
109	7.450000	46.95000	42840	0.096703250991236	0.144172378446806	0.0366241683359786	233035	168	246	304	0	0	0	0.014698693	
110	14.466667	50.08333	12300	0.299201435492295	0.225471023007139	0.0461574012205443	121810	182	243	302	0	0	0	0.001469869	
111	13.400000	52.51667	29500	0.120147471683501	0.107652298794807	0.0304289026275116	4977588	196	242	285	0	0	0	0.068763215	
112	12.566667	55.71667	41500	0.0989017142963811	0.15728829579315	0.0337365898196759	400658	178	227	283	0	0	0	0.001469869	
113	-3.700000	40.43333	23400	0.220289511712493	0.176904951840412	0.0576110897464316	1480612	174	257	10000	0	0	0	0.220042287	
114	24.750000	59.41667	11400	0.339455122848070	0.255221905945556	0.0979175037756502	17763	155	243	297	0	0	0	0.001469869	
115	24.933333	60.16667	34000	0.167384386617100	0.161877347562046	0.0509600716113822	79523	150	227	302	0	0	0	0.005879477	
116	2.326500	48.86667	29800	0.155823301556110	0.150616837936202	0.0579523313691001	3364224	183	244	297	0	0	0	0.093976393	
118	-0.116667	51.50000	33700	0.17739751574029	0.205268369212098	0.0768430728700242	9498792	201	244	299	0	0	0	0.414871394	
121	23.716667	38.00000	20400	0.196816759301796	0.146460652394770	0.0368088607222061	203047	167	253	10000	0	0	0	0.007349346	
123	19.250000	47.43333	10100	0.232461860497769	0.199174952876943	0.0580536923966406	71690	167	243	296	0	0	0	0.001469869	
124	-6.250000	53.35000	43700	0.244206040803486	0.236603859580066	0.104595043225454	1106799	173	244	299	0	0	0	0.010289085	
125	12.483333	41.90000	25900	0.218813378876008	0.129146379469025	0.0362400181028887	1494081	163	257	10000	0	0	0	0.064179000	
128	25.316667	54.68333	8400	0.160785115208769	0.220292408830180	0.081740963404595	24485	152	243	299	0	0	0	0.001469869	
129	6.116667	49.60000	75600	0.177335736377189	0.152745524009289	0.0586875654592076	17240	197	257	304	0	0	0	0.001469869	
130	24.100000	56.95000	9300	0.459885551215083	0.339364744444666	0.131169623110318	9376	152	243	299	0	0	0	0.001469869	
135	4.866667	52.35000	34600	0.102140560073891	0.141955099298743	0.0363816268807249	2526370	192	235	290	0	0	0	0.005879477	
136	10.683333	59.93333	55198	0.201059932461739	0.186197122179914	0.048435111739616	144557	173	230	271	0.201059932461739	0.186197122179914	0.048435111739616	0.010289085	
138	-9.183333	38.76667	15400	0.180541853847847	0.109729010364590	0.041945037737303	269691	173	256	10000	10000	0	0	0	0.002939739
139	26.100000	44.41667	5800	0.214882392924093	0.130626299035765	0.0518451113559274	16371	164	256	306	312	0	0	0	0.008819216
144	17.116667	48.15000	10200	0.293594312359272	0.313513406366868	0.0555514812313037	17436	182	243	302	305	0	0	0	0.004409608
145	14.500000	46.05000	17100	0.338523307247363	0.204058422123788	0.0450614898804845	33710	176	243	299	305	0	0	0	0.001469869
146	18.066667	59.35000	36200	0.201059932461739	0.186197122179914	0.048435111739616	219870	163	242	299	305	0	0	0	0.010289085
161	33.466667	35.13333	20000	0.121219563539401	0.117310770638006	0.0295871803035127	70455	169	245	10000	10000	0	0	0	0.001469869
