0	0
1	93
1	92
1	116
1	94
2	142
2	146
2	143
2	166
2	151
2	155
2	160
2	145
2	179
2	152
2	167
2	144
2	169
2	147
2	171
2	149
2	181
2	174
2	172
2	148
2	173
2	150
2	156
2	185
2	178
2	170
2	154
2	177
2	186
2	157
2	153
3	107
3	101
3	106
3	95
3	111
3	122
3	112
3	91
3	115
3	109
3	136
3	123
3	104
3	108
4	120
4	117
4	114
5	97
5	118
5	121
5	99
5	113
5	137
5	126
5	119
5	128
5	129
5	131
5	125
5	124
5	98
5	140
5	96
5	133
5	141
5	100
5	134
5	127
5	110
5	139
5	103
5	138
5	132
5	102
5	105
5	135
5	130
6	196
6	194
6	192
6	198
6	189
6	188
6	193
6	191
6	197
6	190
6	210
7	2
7	3
7	15
7	21
7	9
7	13
7	12
7	20
7	22
7	23
8	236
8	254
8	259
8	238
8	260
8	242
8	264
8	249
8	257
8	263
8	276
8	241
8	239
8	247
8	255
8	253
9	4
9	7
9	19
9	1
9	11
9	8
9	18
9	6
9	17
9	5
9	14
9	16
9	10
10	214
10	229
10	216
10	225
10	215
10	232
10	231
11	279
11	296
11	303
11	311
11	304
11	308
11	288
11	283
11	285
11	295
11	298
12	58
12	88
12	52
12	50
12	54
12	85
12	78
12	74
12	71
12	61
12	84
12	62
12	65
12	57
12	59
12	67
12	77
12	70
12	51
12	64
12	79
12	73
12	87
12	76
12	53
12	60
12	82
12	56
12	83
12	86
13	319
13	334
13	328
13	351
13	354
13	332
13	350
13	326
13	322
13	318
13	344
13	325
13	348
13	335
13	342
13	323
13	341
13	338
13	327
13	349
13	343
13	336
13	330
13	345
13	353
13	346
13	340
13	347
13	329
13	333
13	339
13	337
13	331
13	355
13	352
13	324
13	317
13	321
13	320
14	163
14	183
14	164
14	176
14	184
14	165
14	159
14	168
14	158
14	180
14	182
14	161
14	162
14	187
14	175
15	258
15	272
15	268
15	252
15	251
15	275
15	240
15	246
15	273
15	277
15	262
15	265
15	237
15	244
15	271
15	269
15	261
15	256
15	250
15	267
15	278
15	274
15	243
15	245
15	266
15	248
15	270
16	213
16	223
16	227
16	226
16	217
16	221
16	218
16	212
16	233
16	234
16	222
16	211
16	235
16	220
16	228
16	219
16	230
16	224
17	39
17	46
17	40
17	36
17	41
17	31
17	29
17	49
17	24
17	25
17	38
17	45
17	33
17	43
17	44
17	34
17	42
17	27
17	47
17	32
17	26
18	72
18	63
18	81
18	90
18	89
18	66
18	69
18	75
18	68
18	55
18	80
19	200
19	208
19	204
19	199
19	206
19	202
19	207
19	201
19	195
19	205
19	203
19	209
20	48
20	28
20	35
20	30
20	37
21	306
21	282
21	310
21	287
21	309
21	307
21	297
21	300
21	291
21	289
21	294
21	281
21	302
21	315
21	284
21	314
21	305
21	316
21	286
21	301
21	292
21	290
21	299
21	280
21	293
21	312
21	313
