"";"location_code";"x"
"1";"municip0301";1.06037527316126
"2";"municip1101";0.65802115972036
"3";"municip1103";0.606207695141142
"4";"municip1106";0.803446240867142
"5";"municip1108";0.485934153749431
"6";"municip1111";0.80084588617984
"7";"municip1112";0.448636705341314
"8";"municip1114";0.253286915339574
"9";"municip1119";0.390795316105715
"10";"municip1120";0.454957544303529
"11";"municip1121";0.542961953117699
"12";"municip1122";0.630420449199049
"13";"municip1124";0.496964748672903
"14";"municip1127";0.609050405616839
"15";"municip1130";0.608076202595253
"16";"municip1133";0.277984634134621
"17";"municip1134";0.395755634079139
"18";"municip1135";0.558917470584993
"19";"municip1144";0.688332739305476
"20";"municip1145";0.822250872701504
"21";"municip1146";0.789432232151057
"22";"municip1149";0.790566822576939
"23";"municip1151";0.77171693497715
"24";"municip1160";0.690969600953894
"25";"municip1505";0.545866198845998
"26";"municip1506";0.4226475629279
"27";"municip1507";0.407135768443837
"28";"municip1511";0.816137614624537
"29";"municip1514";0.922859829228461
"30";"municip1515";0.350807058766695
"31";"municip1516";0.723078652678582
"32";"municip1517";0.514534697460041
"33";"municip1520";0.486980379741513
"34";"municip1525";0.153742791223851
"35";"municip1528";0.213455780485686
"36";"municip1531";0.815472486753001
"37";"municip1532";0.528276178391376
"38";"municip1535";0.254139522884176
"39";"municip1539";0.718282366014542
"40";"municip1547";0.197850093071032
"41";"municip1554";0.11557857286419
"42";"municip1557";0.519579751667516
"43";"municip1560";0.476424214306746
"44";"municip1563";0.336691619198759
"45";"municip1566";0.471524377377465
"46";"municip1573";0.335330011756845
"47";"municip1576";0.643445608201719
"48";"municip1577";0.456342485154043
"49";"municip1578";0.6746385690862
"50";"municip1579";0.306288821503482
"51";"municip1804";0.579648620247222
"52";"municip1806";0.298654079348415
"53";"municip1811";0.450860781022651
"54";"municip1812";0.749347352847952
"55";"municip1813";0.548897219771399
"56";"municip1815";0.93279100875082
"57";"municip1816";0.695415032973648
"58";"municip1818";0.385930856068254
"59";"municip1820";0.401978786291548
"60";"municip1822";0.845677182660081
"61";"municip1824";0.249803448112318
"62";"municip1825";0.708776317148174
"63";"municip1826";0.481653289037278
"64";"municip1827";0.995019095772659
"65";"municip1828";0.381099712497074
"66";"municip1832";0.345262807298818
"67";"municip1833";0.256954726946472
"68";"municip1834";0.377384419058442
"69";"municip1835";0.913293975050944
