day,beta
1,0.969550637229342
2,0.971733867940422
3,0.973798596024312
4,0.975726169242602
5,0.97749793535688
6,0.979095242128735
7,0.980499437319756
8,0.981806223797938
9,0.983118766292239
10,0.984429605355696
11,0.985731281541346
12,0.987016335402224
13,0.988277307491368
14,0.989506738361814
15,0.990697168566598
16,0.991841138658757
17,0.992931189191327
18,0.993959860717345
19,0.994919693789847
20,0.995803228961869
21,0.996603006786449
22,0.997311567816623
23,0.997921452605426
24,0.998425201705896
25,0.998815355671068
26,0.999125281811309
27,0.99939188910769
28,0.999613030619305
29,0.999786559405248
30,0.999910328524615
31,0.999982191036501
32,1
33,0.999961608474207
34,0.999864869518217
35,0.999707636191125
36,0.999487761552025
37,0.999203098660013
38,0.998851500574183
39,0.998430820353629
40,0.997938911057448
41,0.997373625744733
42,0.996732817474579
43,0.995969300079463
44,0.995045816094764
45,0.993975111633933
46,0.992769932810419
47,0.991443025737672
48,0.990007136529142
49,0.988475011298279
50,0.986859396158533
51,0.985173037223355
52,0.983428680606192
53,0.981639072420497
54,0.979816958779718
55,0.977975085797305
56,0.976126199586709
57,0.97428304626138
58,0.972458371934766
59,0.970664922720319
60,0.968915444731488
61,0.967111776303025
62,0.965156238747257
63,0.963062302643999
64,0.960843438573064
65,0.958513117114264
66,0.956084808847414
67,0.953571984352326
68,0.950988114208815
69,0.948346668996692
70,0.945661119295772
71,0.942944935685868
72,0.940211588746794
73,0.937474549058362
74,0.934747287200386
75,0.932043273752679
76,0.929375979295055
77,0.926758874407327
78,0.924205429669309
79,0.92168692370054
80,0.919163223205358
81,0.91663068089077
82,0.914085649463781
83,0.911524481631399
84,0.90894353010063
85,0.90633914757848
86,0.903707686771958
87,0.901045500388069
88,0.898348941133819
89,0.895614361716216
90,0.892838114842266
91,0.890016553218977
92,0.887146029553353
93,0.884222896552403
94,0.881243506923133
95,0.87820421337255
96,0.875101368607659
97,0.871904191744988
98,0.868592064347327
99,0.86517658279108
100,0.861669343452651
101,0.858081942708444
102,0.854425976934863
103,0.850713042508312
104,0.846954735805195
105,0.843162653201917
106,0.83934839107488
107,0.83552354580049
108,0.83169971375515
109,0.827888491315265
110,0.824101474857237
111,0.820350260757472
112,0.816646445392373
113,0.813001625138345
114,0.809292026377873
115,0.805400395737606
116,0.801348109960198
117,0.7971565457883
118,0.792847079964563
119,0.788441089231638
120,0.783959950332178
121,0.779425040008835
122,0.774857735004259
123,0.770279412061102
124,0.765711447922016
125,0.761175219329653
126,0.756692103026665
127,0.752283475755702
128,0.747970714259416
129,0.74377519528046
130,0.739718295561484
131,0.735821391845141
132,0.731953702302755
133,0.727980223197445
134,0.723915998409555
135,0.719776071819425
136,0.715575487307399
137,0.711329288753819
138,0.707052520039027
139,0.702760225043365
140,0.698467447647177
141,0.694189231730804
142,0.689940621174589
143,0.685736659858874
144,0.681592391664001
145,0.677522860470314
146,0.673543110158154
147,0.669668184607863
148,0.665913127699785
149,0.662143014283986
150,0.65822742670532
151,0.654188170086302
152,0.650047049549451
153,0.645825870217282
154,0.641546437212313
155,0.637230555657061
156,0.632900030674043
157,0.628576667385776
158,0.624282270914778
159,0.620038646383564
160,0.615867598914653
161,0.611790933630561
162,0.607830455653806
163,0.604007970106904
164,0.600345282112372
165,0.596864196792728
166,0.593586519270488
167,0.590337976548119
168,0.586947596365948
169,0.583442134953286
170,0.579848348539445
171,0.576192993353735
172,0.572502825625468
173,0.568804601583955
174,0.565125077458507
175,0.561491009478435
176,0.55792915387305
177,0.554466266871663
178,0.551129104703586
179,0.547944423598129
180,0.544938979784603
181,0.542139529492321
182,0.539572828950591
183,0.537265634388727
184,0.535091825628126
185,0.532914196296877
186,0.530742873334332
187,0.52858798367984
188,0.526459654272751
189,0.524368012052414
190,0.52232318395818
191,0.520335296929399
192,0.51841447790542
193,0.516570853825594
194,0.514814551629271
195,0.513155698255799
196,0.51160442064453
197,0.510170845734813
198,0.508865100465998
199,0.507697311777435
200,0.506677606608474
201,0.505816111898465
202,0.505049412238261
203,0.504311782372967
204,0.50360988447331
205,0.502950380710017
206,0.502339933253815
207,0.50178520427543
208,0.50129285594559
209,0.500869550435021
210,0.500521949914451
211,0.500256716554606
212,0.500080512526214
213,0.5
214,0.500021841146693
215,0.500152698137019
216,0.500399233141704
217,0.500768108331477
218,0.501265985877064
219,0.501899527949191
220,0.50268603781267
221,0.503632069433819
222,0.504728161035625
223,0.505964850841076
224,0.507332677073158
225,0.508822177954859
226,0.510423891709165
227,0.512128356559064
228,0.513926110727543
229,0.515807692437589
230,0.517763639912189
231,0.519784491374331
232,0.521860785047001
233,0.523983059153186
234,0.526141851915875
235,0.528327701558053
236,0.530531146302708
237,0.532742724372828
238,0.535126339087623
239,0.537829326946866
240,0.540817375944382
241,0.544056174073998
242,0.54751140932954
243,0.551148769704835
244,0.55493394319371
245,0.55883261778999
246,0.562810481487502
247,0.566833222280073
248,0.570866528161529
249,0.574876087125696
250,0.578827587166401
251,0.582686716277471
252,0.586419162452731
253,0.589990613686009
254,0.59336675797113
255,0.596775203340158
256,0.600446637327887
257,0.604351367182241
258,0.608459700151141
259,0.612741943482511
260,0.617168404424274
261,0.621709390224351
262,0.626335208130666
263,0.631016165391141
264,0.635722569253699
265,0.640424726966262
266,0.645092945776754
267,0.649697532933097
