time	community	work	school	uni	house
197	87454	17356	20288	3804	92154
198	87463	17358	20290	3804	92164
199	87467	17359	20291	3804	92172
200	87471	17359	20292	3804	92178
201	87479	17359	20294	3805	92185
202	87483	17360	20296	3806	92194
203	87490	17360	20297	3806	92205
204	87493	17363	20299	3806	92213
205	87496	17363	20301	3806	92219
206	87501	17363	20301	3806	92222
207	87501	17364	20302	3807	92230
208	87503	17365	20303	3807	92234
209	87503	17365	20307	3808	92238
210	87508	17365	20308	3808	92241
211	87509	17366	20308	3808	92244
212	87513	17366	20308	3808	92249
213	87520	17366	20308	3808	92259
214	87525	17366	20309	3808	92268
215	87527	17366	20310	3809	92279
216	87530	17367	20311	3809	92287
217	87535	17367	20314	3809	92292
218	87539	17368	20315	3809	92301
219	87539	17368	20315	3809	92310
220	87546	17369	20316	3810	92327
221	87553	17370	20317	3810	92339
222	87558	17371	20317	3810	92345
223	87560	17372	20318	3810	92349
224	87573	17374	20319	3810	92362
225	87578	17374	20319	3812	92375
226	87580	17376	20319	3812	92387
227	87586	17377	20321	3812	92396
228	87588	17379	20322	3812	92403
229	87592	17381	20323	3812	92413
230	87596	17381	20324	3813	92422
231	87603	17381	20325	3813	92425
232	87606	17387	20327	3813	92442
233	87614	17387	20332	3813	92455
234	87621	17391	20332	3813	92468
235	87622	17392	20334	3815	92476
236	87630	17395	20336	3815	92485
237	87637	17395	20339	3815	92493
238	87644	17396	20341	3815	92504
239	87653	17398	20343	3815	92519
240	87661	17399	20345	3815	92526
241	87668	17400	20346	3815	92532
242	87679	17400	20347	3815	92542
243	87686	17400	20348	3815	92545
